id;bald;fireYear;initial;year;TSLF;size;ontogeny;fec0;fec1;fec2;fec3;fec4;goSB;staySB;cov;surv;sizeNext;ontogenyNext;covNext
1082;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;58;0;1420.622
1089;1;1967;1995;1994;27;NA;NA;NA;NA;NA;0.001216;0.141421356;0.08234362;0.672;1481.836;NA;64;0;1420.622
1073;1;1967;1995;1995;28;1;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1074;1;1967;1995;1995;28;2;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;4;0;1113.536
1088;1;1967;1995;1995;28;2;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;14;0;1113.536
1;1;1967;1994;1995;28;2;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1063;1;1967;1995;1995;28;2;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1068;1;1967;1995;1995;28;2;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
41;1;1967;1994;1995;28;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
1070;1;1967;1995;1995;28;3;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;3;0;1113.536
4;1;1967;1994;1995;28;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;1;40;0;1113.536
44;1;1967;1994;1995;28;3;0;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1076;1;1967;1995;1995;28;3;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1078;1;1967;1995;1995;28;3;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
1080;1;1967;1995;1995;28;3;1;0;NA;NA;0.001336;0.141421356;0.08234528;0.672;1420.622;0;NA;NA;1113.536
